size;optimal;value_cuts;cutsTime;baseTime;cplexTime;cutsWithDTime;gurobiCutsWithDTime
10;true;222.0;0.04199981689453125;0.017;0.031;0.03299999237060547;0.0
100;true;2657.0;0.020999908447265625;0.02;0.029;0.025999784469604492;0.008039474487304688
1000;true;26516.0;0.046000003814697266;0.109;0.082;0.03600001335144043;0.007335662841796875
6000;true;159233.0;0.18400025367736816;0.496;0.227;0.03699970245361328;-1.0
11000;true;291771.0;0.6670000553131104;2.387;0.971;0.09100008010864258;-1.0
16000;true;424461.0;0.37400007247924805;1.785;1.317;0.08100008964538574;-1.0
21000;true;557098.0;1.5560002326965332;8.998;1.889;0.13499999046325684;-1.0
26000;true;689800.0;0.931999921798706;4.145;1.02;0.08599996566772461;-1.0
31000;true;822452.0;3.2430002689361572;15.346;2.938;0.16300034523010254;-1.0
36000;true;954999.0;2.07099986076355;7.696;1.554;0.20200014114379883;-1.0
41000;true;1.087754e6;5.074000358581543;26.837;3.822;0.21000003814697266;-1.0
46000;true;1.220359e6;2.1609997749328613;11.036;2.399;0.1979999542236328;-1.0
51000;true;1.353088e6;7.696000099182129;40.248;5.002;0.2259998321533203;-1.0
