size;optimal;value_cuts;cutsTime;baseTime;cplexTime;cutsWithDTime;gurobiCutsWithDTime
10;true;222.0;0.020999908447265625;0.011;0.013;0.024000167846679688;-1.0
100;true;2657.0;0.021000146865844727;0.017;0.022;0.020000219345092773;-1.0
1000;true;26516.0;0.03099989891052246;0.059;0.058;0.029999971389770508;-1.0
2000;true;53054.0;0.06200003623962402;0.124;0.083;0.021000146865844727;-1.0
3000;true;79561.0;0.09799981117248535;0.225;0.11;0.02500009536743164;-1.0
4000;true;106127.0;0.1360001564025879;0.261;0.268;0.04799985885620117;-1.0
5000;true;132652.0;0.1809999942779541;0.552;0.241;0.051000118255615234;-1.0
6000;true;159233.0;0.21200013160705566;0.646;0.309;0.05300021171569824;-1.0
7000;true;185659.0;0.24399995803833008;0.789;0.377;0.056999921798706055;-1.0
8000;true;212198.0;0.38700008392333984;0.979;0.564;0.0839998722076416;-1.0
9000;true;238626.0;0.3280003070831299;0.787;0.326;0.04999995231628418;-1.0
10000;true;265199.0;0.3689999580383301;0.934;0.333;0.07200002670288086;-1.0
